ID,Ficha,Tipo,Título,Autores,Edição,Palavras chave,Língua,Onde encontrar,Licenças especiais
01,sim,"livro, PDF",10 print chr$(205.5+rnd(1)) :goto 10,"BAUDOIN, Patsy; REAS, Casey; MARINO, Mark C.; DOUGLASS, Jeremy; BELL, John; SAMPLE, Mark; BOGOST, Ian; MONTFORT, Nick.","Cambridge, Mass.: MIT Press, 2013.","Cultura digital, arte",inglês,[PDF disponível] 10print.org,Creative Commons BY-NC-SA 3.0
02,não,PDF,Arduino 101 Oficina para principiantes,"RAMALHO, Luciano.",-,"Arduino, indtrodutório",português,[PDF disponível] speakerdeck.com/ramalho/arduino-101,Creative Commons BY-SA
03,não,livro,Arduino Básico,"McROBERTS, Michael.","Segunda edição, Novatec, 2015","Arduino, indtrodutório",português,novatec.com.br/livros/arduino2ed/,-
04,sim,"livro, site",Automate the Boring Stuff with Python: Practical Programming for Total Beginners,"SWEIGART, Al.","No Starch Press; 1 edition (May 1, 2015)",Python,inglês,[Leia online] automatetheboringstuff.com,Creative Commons BY-NC-SA 4.0
04bis,sim,livro,"Automatize tarefas maçantes com Python
Programação prática para verdadeiros iniciantes","SWEIGART, Al.","Novatec, 2015",Python,português,novatec.com.br/livros/automatizepython/,-
05,sim,"livro, PDF",Automatic SketchUp: Creating 3-D Models in Ruby,"SCARPINO, Matthew.","Eclipse Engineering, 2010","SketchUp, Ruby",inglês,[PDF disponível] www.automaticsketchup.com,-
06,sim,site,"Como Pensar Como um Cientista da Computação - aprendendo com Python","DOWNEY, Allen B. [e diversos autores da versão interativa]",Edição online traduzida no IME-USP,Python,Português,[Leia online] panda.ime.usp.br/pensepy/static/pensepy/,GNU Free Documentation License 1.3
06bis,sim,site,Pense Python 2,"DOWNEY, Allen B.","Novatec, 2016",Python,Português,[disponível online em] https://penseallen.github.io/PensePython2e/,Creative Commons BY-NC 3.0
07,não,livro,"Form+Code in Design, Art, and Architecture","REAS, Casey; McWILLIAMS, Chandler; BARENDSE, Jeroen.","Princeton Architectural Press, 2010","Processing, Arte",inglês,formandcode.com/,-
08,não,"livro, PDF, site",GDL Cookbook,"NICHOLSON-COLE, David.","Marmalade, 2002","ArchiCAD, GDL",inglês,nottingham.ac.uk/~lazwww/cookbook/,-
09,não,livro,"Generative Design: Visualize, Program, and Create with Processing","Hartmut Bohnacker  (Author), Benedikt Gross (Author), Julia Laub (Author), Claudius Lazzeroni (Editor)","Princeton Architectural Press, 2012","Processing, Arte",inglês,www.amazon.com/Generative-Design-Visualize-Program-Processing/dp/1616890770/,-
10,não,"livro, ebook","Getting Started with p5.js
Making Interactive Graphics in JavaScript and Processing","REAS, Casey; FRY, Ben.","Maker Media, 2015","P5*JS, introdutório",inglês,shop.oreilly.com/product/0636920032076.do,-
11,não,vídeo interativo,Hello P5JS,"GARNER, Scott; SHIFFMAN, Daniel; MAcCARTHY, Lauren.","P5JS.org, 2014","P5JS, Javascript",inglês,[Assista online] hello.p5js.org,Creative Commons BY-NC-SA 4.0
12,sim,vídeo interativo,Hello Processing,"SHIFFMAN, Daniel.","Processing Foundation, 2013","Cultura digital, arte, Processing, Introdutório",inglês,[Assista online] hello.processing.org,Creative Commons BY-NC-SA 4.0
13,não,site,Hour of Python,,Trinket.io,"Python, Introdutório",inglês,https://hourofpython.com/,-
14,sim,PDF,Introdução à programação gráfica (usando Processing),"BARROS, Pedro.","FBAUP, 2007",Processing,Português,[PDF disponível] hdl.handle.net/10216/1848,Creative Commons BY-NC-SA 2.5
15,sim,livro,Introducing Python: Modern Computing in Simple Packages,"LUBANOVIC, Bill.","O'Reilly, 2014","Python, Introdutório",inglês,shop.oreilly.com/product/0636920028659.do,-
16,não,"livro, ebook","Learning Processing, Second Edition","SHIFFMAN, Daniel.","Segunda edição, Morgan Kaufmann, 2015","Processing, Introdutório",inglês,learningprocessing.com,-
17,não,"livro, ebook",Make: Getting Started with Processing,"REAS, Casey; FRY, Ben.","Segunda edição, Maker Media, 2015","Processing, Introdutório",inglês,shop.oreilly.com/product/0636920031406.do,-
18,não,site,P5*JS Tutorials,[diversos autores],Processing Foundation,"Processing, Python, Conceitos de Programação",inglês,[Acesse] http://p5js.org/tutorials/,?
19,sim,livro,Processing: A Programming Handbook forVisual Designers and Artists​.,"REAS, Casey; FRY, Ben.","MIT Press, Cambridge, 2007 e segunda edição revisada, 2014.","Introdutório, Essencial, Processing, Artes visuais",inglês,processing.org/handbook/,-
20,não,livro,Processing: Creative Coding and Computational Art in Processing 2,"GREENBERG, Ira; XU, Dianna; KUMAR, Deepak.","Segunda edição, Apress, 2013",Processing,inglês,apress.com/9781430244646,-
21,sim,site,Processing.org Tutorials,[diversos autores],Processing Foundation,"Processing, Java, Conceitos de Programação",inglês,[Acesse] https://processing.org/tutorials/,"Licenças variadas, alguns são Creative Commons BY-NC-SA 4.0"
22,sim,site,py.Processing.org Tutorials,[diversos autores],Processing Foundation,"Processing, Python, Conceitos de Programação",inglês,[Acesse] http://py.processing.org/tutorials/,"Licenças variadas, alguns são Creative Commons BY-NC-SA 4.0"
23,sim,ebook,"Python in education - Teach, Learn, Program","TOLLERVEY, Nicholas.","O’Reilly, Sebastopol, 2015.","Introdutório, Python, educação",inglês,[ePUB grátis disponível] www.oreilly.com/programming/free/python-in-education.csp,-
24,sim,"livro, site",The Nature of Code: Simulating Natural Systems with Processing.,"SHIFFMAN, Daniel.","Publicado pelo autor, Nova Iorque, 2013.","Processing, simulações físicas, avançado",inglês,[Leia online] natureofcode.com,Creative Commons BY-NC 3.0
25,sim,"livro, site, PDF, ebook",Think Python - How to Think Like a Computer Scientist,"DOWNEY, Allen B.",O'Reilly; Green Tea Press,Python,inglês,[Leia online] www.greenteapress.com/thinkpython2/index.html,Creative Commons BY-NC 3.0
26,sim,artigo,What is Code?,"FORD, Paul.","Bloomberg, Businessweek, 11 de junho de 2015","Cultura digital, Introdutório",inglês,[Leia online] bloomberg.com/graphics/2015-paul-ford-what-is-code/,-
